# of Queries,Baseline,Total Runtime,Overhead
1.000000000000000000e+01,2.031116485595703004e-05,1.707431769371032715e+01,8.406360493666012585e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.663035058975219727e+01,8.187777705772426724e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.664246201515197754e+01,8.193740645606589317e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.652012681961059570e+01,8.133510128839598596e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.655034351348876953e+01,8.148387017532327771e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.653918004035949707e+01,8.142890792570124567e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.654516315460205078e+01,8.145836519358807802e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.653172016143798828e+01,8.139217995379804075e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.647221136093139648e+01,8.109919429330728948e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.708900928497314453e+01,8.413593752500258386e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.693998360633850098e+01,8.340222441848453879e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.701417899131774902e+01,8.376751801688437164e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.699943447113037109e+01,8.369492483824621141e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.649264144897460938e+01,8.119977979979152977e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.652177357673645020e+01,8.134320893331705034e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.648639607429504395e+01,8.116903131872774661e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.656175851821899414e+01,8.154007081576500833e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.648889517784118652e+01,8.118133540647390485e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.659892249107360840e+01,8.172304393974965811e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.652870202064514160e+01,8.137732043779170513e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.649105525016784668e+01,8.119197030773131549e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.651825594902038574e+01,8.132589024312371016e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.654351305961608887e+01,8.145024111504474282e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.652722907066345215e+01,8.137006851505789161e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.649329566955566406e+01,8.120300078975293040e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.649730896949768066e+01,8.122275987285071611e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.653021836280822754e+01,8.138478599761477113e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.653891539573669434e+01,8.142760497422268987e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.659208846092224121e+01,8.168939727201870084e+07
1.000000000000000000e+01,2.031116485595703004e-05,1.647874283790588379e+01,8.113135137056408823e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.240406894683837891e+01,8.609484245228850842e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.245599722862243652e+01,8.614909659882499278e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.249091291427612305e+01,8.618557615602958202e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.245081925392150879e+01,8.614368670293523371e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.250529408454895020e+01,8.620060145809122920e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.248364305496215820e+01,8.617798068013535440e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.239989876747131348e+01,8.609048549082760513e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.232372784614562988e+01,8.601090287831968069e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.255009150505065918e+01,8.624740535247895122e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.219504046440124512e+01,8.587645159615343809e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.230750536918640137e+01,8.599395379755111039e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.219890284538269043e+01,8.588048697295674682e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.229021215438842773e+01,8.597588602065764368e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.231260228157043457e+01,8.599927900034748018e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.238679838180541992e+01,8.607679833964172006e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.261937046051025391e+01,8.631978730836629868e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.236943864822387695e+01,8.605866106459218264e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.233880329132080078e+01,8.602665355181659758e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.249305009841918945e+01,8.618780906452742219e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.217764258384704590e+01,8.585827446553052962e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.240481495857238770e+01,8.609562187784515321e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.224192452430725098e+01,8.592543559040427208e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.237560606002807617e+01,8.606510471441613138e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.223857545852661133e+01,8.592193652016006410e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.249313926696777344e+01,8.618790222693015635e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.245697903633117676e+01,8.615012238164451718e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.229124498367309570e+01,8.597696511030651629e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.242616462707519531e+01,8.611792779677145183e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.226567125320434570e+01,8.595024593392194808e+07
5.000000000000000000e+01,9.571301937103271495e-05,8.229747605323791504e+01,8.598347526911851764e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645150606632232666e+02,8.184448078364518285e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.646407470703125000e+02,8.190700850151461363e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.644375510215759277e+02,8.180592051991161704e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645075221061706543e+02,8.184073042766441405e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.643716640472412109e+02,8.177314241575635970e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.644056489467620850e+02,8.179004955995973945e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.647633817195892334e+02,8.196801800070051849e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.644370377063751221e+02,8.180566515078462660e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.649796497821807861e+02,8.207560917714564502e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.646508388519287109e+02,8.191202906092362106e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.648107087612152100e+02,8.199156272582168877e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.649346823692321777e+02,8.205323834345498681e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.649925582408905029e+02,8.208203100495521724e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.643821663856506348e+02,8.177836722302263975e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.648025095462799072e+02,8.198748369921810925e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.647447166442871094e+02,8.195873231428834796e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.649592823982238770e+02,8.206547660937407613e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645758874416351318e+02,8.187474149144585431e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645831594467163086e+02,8.187835924051347375e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.643895287513732910e+02,8.178202992559660971e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.644615738391876221e+02,8.181787162900002301e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.646684153079986572e+02,8.192077317026478052e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.648018612861633301e+02,8.198716119635869563e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645947761535644531e+02,8.188413843482092023e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.643729908466339111e+02,8.177380248505118489e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.646148648262023926e+02,8.189413234652677178e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645256378650665283e+02,8.184974283471354842e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.646493289470672607e+02,8.191127789850780368e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.645173614025115967e+02,8.184562537819953263e+07
1.000000000000000000e+02,2.010091066360473631e-04,1.646563072204589844e+02,8.191474951902714372e+07
